FamilyID	Metridia.pacifica<54>	Metridia.lucens<55>	Metridia.longa<56>	Pleuromamma.robusta<57>	Pleuromamma.xiphias<58>	Pleuromamma.abdominalis<59>	Pseudocalanus.sp<60>	Euchaetidae.sp<61>	Calanoides.acutus<62>	Calanoides.carinatus<63>	Neocalanus.cristatus<64>	Neocalanus.flemingeri<65>	Neocalanus.plumchrus<66>	Calanus.hyperboreus<67>	Calanus.propinquus<68>	Calanus.finmarchicus<69>	Calanus.glacialis<70>	Calanus.marshallae<71>	Calanus.helgolandicus<72>	Calanus.sinicus<73>	Calanus.pacificus<74>	Rhincalanus.gigas<75>	Eucalanus.bungii<76>	Eucalanus.hyalinus<77>	Pseudodiaptomus.annandalei<78>	Gigantodiaptomus.amblyodon<79>	Eurytemora.affinis<80>	Eurytemora.carolleeae<81>	Temora.stylifera<82>	Temora.longicornis<83>	Acartia.fossae<84>	Acartia.clausii<85>	Acartia.tonsa<86>	Labidocera.madurae<87>	Tracheliastes.polycolpus<88>	Lepeophtheirus.salmonis<89>	Caligus.confusus<90>	Caligus.clemensi<91>	Caligus.rogercresseyi<92>	Eucyclops.serrulatus<93>	Apocyclops.royi<94>	Lernaea.cyprinacea<95>	Paracyclopina.nana<96>	Oithona.similis<97>	Oithona.nana<98>	Platychelipus.littoralis<99>	Tisbe.furcata<100>	Tigriopus.kingsejongensis<101>	Tigriopus.californicus<102>	Tigriopus.japonicus<103>	Amphibalanus.amphitrite<104>	Penaeus.aztecus<105>	Drosophila.melanogaster<106>	<107>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>	<172>	<173>	<174>	<175>	<176>	<177>	<178>	<179>	<180>	<181>	<182>	<183>	<184>	<185>	<186>	<187>	<188>	<189>	<190>	<191>	<192>	<193>	<194>	<195>	<196>	<197>	<198>	<199>	<200>	<201>	<202>	<203>	<204>	<205>	<206>	<207>	<208>	<209>
OG0000012	13	-6	-5	-16	19	8	-8	9	-15	30	-1	-9	7	-2	1	28	31	-33	-8	-6	12	4	-8	3	17	-17	0	3	2	-1	4	10	-19	7	0	2	-3	-2	2	-13	7	9	3	-1	-1	9	-10	3	2	2	13	-15	1	0	1	2	0	-2	5	2	25	3	3	5	-1	6	7	-1	-4	-4	3	5	5	16	-8	-9	-19	-2	-5	0	-3	4	3	2	2	1	-6	-9	1	-1	0	-3	1	1	0	1	-7	-1	-3	1	-6	6	3	-2	-4
OG0000023	5	-5	-1	-3	17	-4	-17	31	1	2	9	2	-9	-8	17	-3	14	-11	-10	1	9	1	-1	-2	2	-3	-1	-1	10	-9	2	8	-7	-1	-5	-2	4	0	-1	3	2	-3	6	-2	-2	0	3	-2	-3	3	14	7	-13	0	0	3	2	-2	0	5	9	2	7	9	6	4	2	2	0	-7	2	10	-4	-1	2	-4	-11	-1	-3	-4	-1	-2	-2	-1	0	0	0	-1	-3	-5	0	2	0	2	1	0	4	0	-4	1	2	-2	0	0	19
OG0000027	12	-5	-3	-13	22	-3	-19	29	-8	19	2	-5	3	2	2	1	19	-17	-4	-5	15	2	-14	10	16	-18	-9	18	6	1	2	20	-21	-1	1	7	-7	3	0	-7	4	5	-2	1	1	1	-11	11	0	0	25	-17	-1	0	0	1	-2	0	3	-1	14	2	2	5	2	4	6	-2	-2	-3	1	-2	-3	-1	-2	-1	-13	-3	-4	0	-4	6	5	2	5	-3	-3	-4	0	3	1	-5	2	-2	1	0	-5	0	2	-2	-4	9	0	-1	1
OG0000028	-2	0	2	-6	11	-4	-7	6	7	1	-3	1	-1	0	16	0	2	-3	-10	1	4	8	-7	1	14	-14	-1	5	7	-6	-4	7	-6	7	0	-1	3	1	-1	-5	3	8	1	-1	-1	4	-11	5	-1	4	9	-9	6	0	-1	-2	-3	0	-1	-2	5	2	3	5	-2	8	8	1	-4	-1	6	6	-9	-1	-1	-7	-9	-1	-7	-1	-2	1	3	-1	0	-2	-7	-1	-1	-1	0	2	-1	0	1	4	-3	-2	-3	-2	-5	6	2	1	-2
OG0000031	-2	2	5	0	11	-3	-12	25	-4	13	2	4	-5	-3	-4	4	24	-17	-12	7	7	6	-13	7	-2	0	-5	6	5	-3	3	1	-4	1	-3	1	-1	1	0	-5	3	1	-1	1	1	5	2	-1	0	-2	-1	1	-3	0	3	10	9	3	-1	6	6	3	8	10	7	4	8	-2	1	-1	-3	1	5	6	3	-1	-7	-1	-7	-4	-3	-1	0	-1	1	-1	-2	-5	-1	-3	0	0	2	3	0	-1	-1	0	1	4	-1	-2	-2	-3	0
OG0000032	21	-9	2	-19	11	24	-12	27	4	-1	0	-2	2	8	-3	0	23	-16	-8	5	0	1	4	-6	2	-5	-2	0	8	-4	0	1	-3	1	-2	-3	20	-4	0	-1	2	0	2	-1	-1	0	1	-2	0	0	11	-8	-1	0	0	7	12	10	8	4	32	-2	5	10	8	3	3	1	-1	-1	2	-5	-2	1	2	-4	-3	-4	-4	-7	-3	-2	-2	0	1	-2	-3	-2	-5	-2	1	6	-5	-2	-2	-1	0	0	-1	0	0	-1	0	-1	0
OG0000033	-1	2	0	-11	10	7	-21	45	-11	12	-8	10	-3	2	6	0	8	-10	-12	6	7	8	-6	-1	7	-10	1	-1	6	-4	3	7	-10	1	3	-6	9	3	-5	-4	2	5	0	-1	0	3	-1	2	-1	-2	25	-12	-6	0	1	4	2	1	0	2	16	1	6	7	8	-1	0	0	-3	7	3	0	-6	-4	-3	-2	-7	-1	-8	-3	-4	1	0	0	1	-1	-1	-3	0	1	-3	4	-3	-1	-2	2	-3	-4	-2	2	-2	-1	-2	-1	3
OG0000034	17	-8	-3	-14	25	4	-10	11	-7	24	3	-12	6	0	2	33	13	-26	-5	-8	13	5	-4	0	15	-16	2	0	-2	3	0	6	-12	8	0	-1	-1	1	1	-6	3	3	2	-1	-1	2	-4	1	2	0	2	-5	0	0	1	7	4	1	6	2	24	4	5	7	-1	10	14	-1	-4	-6	3	2	1	12	-14	-9	-21	-2	-6	-1	-3	2	1	1	0	1	-7	-5	-2	-1	-1	0	3	0	0	1	-2	0	-1	0	-3	1	1	-2	-3
OG0000035	4	-1	-1	-11	10	-1	-4	5	-13	23	0	-4	1	7	-4	14	19	-22	0	-9	12	6	-9	3	16	-16	4	0	3	-5	0	12	-16	8	3	3	-1	-6	5	-12	5	5	4	0	0	5	-12	7	1	1	19	-17	4	0	0	-1	-2	2	2	-3	8	1	1	3	0	4	4	1	-2	-3	3	-4	1	5	-6	-3	-13	-1	-6	0	-2	2	3	0	-3	3	-5	-4	1	2	-2	-5	-2	-1	1	-2	-7	4	1	-1	-6	7	2	0	-2
OG0000036	8	-6	0	-11	12	1	-4	4	-10	25	-4	-4	6	-2	0	10	27	-26	-3	-8	20	2	-6	3	14	-15	1	2	7	-3	6	3	-10	2	3	-1	-1	-1	2	-8	3	9	0	1	-2	2	-7	2	-1	3	23	-16	2	0	-1	0	-1	0	0	-1	12	2	3	5	1	5	10	-4	-4	0	1	3	3	5	-3	-1	-18	-1	-3	0	-3	3	2	1	2	-2	-3	-8	-2	0	-3	-1	0	-1	1	1	-6	0	-1	-2	-3	3	2	1	1
