#FamilyID	Likelihood of Family
OG0000012	-404.297
OG0000023	-276.325
OG0000027	-444.609
OG0000028	-256.72
OG0000031	-250.346
OG0000032	-290.953
OG0000033	-310.881
OG0000034	-357.224
OG0000035	-375.663
OG0000036	-343.014
OG0000039	-330.623
OG0000040	-238.946
OG0000042	-297.25
OG0000048	-265.792
OG0000050	-301.297
OG0000051	-305.739
OG0000052	-262.145
OG0000053	-280.503
OG0000054	-301.27
OG0000055	-270.046
OG0000056	-251.209
OG0000058	-232.075
OG0000068	-237.535
OG0000069	-319.888
OG0000070	-358.183
OG0000071	-302.38
OG0000075	-214.789
OG0000076	-309.382
OG0000077	-222.168
OG0000078	-242.748
OG0000079	-293.713
OG0000082	-251.092
OG0000083	-246.548
OG0000084	-331.09
OG0000085	-280.067
OG0000086	-310.532
OG0000087	-256.449
OG0000089	-272.624
OG0000091	-206.845
OG0000092	-254.999
OG0000093	-247.244
OG0000094	-255.059
OG0000096	-234.701
OG0000098	-191.151
OG0000100	-187.63
OG0000101	-207.914
OG0000103	-253.9
OG0000104	-230.617
OG0000105	-192.596
OG0000106	-327.457
OG0000109	-211.809
OG0000110	-207.434
OG0000111	-361.404
OG0000114	-306.347
OG0000115	-226.381
OG0000116	-197.438
OG0000117	-181.839
OG0000118	-224.147
OG0000119	-236.54
OG0000120	-196.907
OG0000121	-277.287
OG0000122	-252.531
OG0000123	-202.6
OG0000124	-239.712
OG0000126	-246.255
OG0000127	-208.73
OG0000128	-550.279
OG0000129	-180.001
OG0000130	-354.83
OG0000132	-183.733
OG0000133	-194.758
OG0000134	-293.399
OG0000138	-244.275
OG0000141	-175.433
OG0000142	-206.066
OG0000144	-205.735
OG0000147	-277.715
OG0000149	-243.475
OG0000152	-214.742
OG0000154	-338.237
OG0000155	-251.673
OG0000156	-315.064
OG0000158	-433.004
OG0000159	-221.536
OG0000164	-244.552
OG0000165	-278.618
OG0000167	-213.41
OG0000168	-225.062
OG0000169	-252.552
OG0000170	-179.269
OG0000172	-251.6
OG0000173	-213.199
OG0000174	-185.333
OG0000175	-201.299
OG0000176	-157.182
OG0000178	-244.573
