#FamilyID	pvalue	Significant at 0.05
OG0000012	0	y
OG0000023	0	y
OG0000027	0	y
OG0000028	0	y
OG0000031	0	y
OG0000032	0	y
OG0000033	0	y
OG0000034	0	y
OG0000035	0	y
OG0000036	0	y
OG0000039	0	y
OG0000040	0	y
OG0000042	0	y
OG0000048	0	y
OG0000050	0	y
OG0000051	0	y
OG0000052	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0	y
OG0000056	0	y
OG0000058	0	y
OG0000068	0	y
OG0000069	0	y
OG0000070	0	y
OG0000071	0	y
OG0000075	0	y
OG0000076	0	y
OG0000077	0	y
OG0000078	0	y
OG0000079	0	y
OG0000082	0	y
OG0000083	0	y
OG0000084	0	y
OG0000085	0	y
OG0000086	0	y
OG0000087	0	y
OG0000089	0	y
OG0000091	0	y
OG0000092	0	y
OG0000093	0	y
OG0000094	0	y
OG0000096	0	y
OG0000098	0	y
OG0000100	0.012	y
OG0000101	0	y
OG0000103	0	y
OG0000104	0	y
OG0000105	0.001	y
OG0000106	0	y
OG0000109	0	y
OG0000110	0	y
OG0000111	0	y
OG0000114	0	y
OG0000115	0	y
OG0000116	0	y
OG0000117	0.002	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0	y
OG0000121	0	y
OG0000122	0	y
OG0000123	0	y
OG0000124	0	y
OG0000126	0	y
OG0000127	0	y
OG0000128	0	y
OG0000129	0	y
OG0000130	0	y
OG0000132	0	y
OG0000133	0	y
OG0000134	0	y
OG0000138	0	y
OG0000141	0.001	y
OG0000142	0	y
OG0000144	0	y
OG0000147	0	y
OG0000149	0	y
OG0000152	0	y
OG0000154	0	y
OG0000155	0	y
OG0000156	0	y
OG0000158	0	y
OG0000159	0	y
OG0000164	0	y
OG0000165	0	y
OG0000167	0	y
OG0000168	0	y
OG0000169	0	y
OG0000170	0.003	y
OG0000172	0	y
OG0000173	0	y
OG0000174	0.003	y
OG0000175	0	y
OG0000176	0.397	n
OG0000178	0	y
OG0000179	0	y
OG0000180	0	y
OG0000181	0	y
OG0000182	0.023	y
OG0000183	0	y
OG0000184	0.007	y
OG0000185	0	y
OG0000186	0	y
