Process	rawID	newID	Orthogroup_ID	IPR_ID	IPR_desc	Organism...6	ko_evalue	ko_ID	ko_desc	KeggPathway_ID	KeggPathway_desc	BP:GO	BP:desc	BP:catIII	BP:catII	MF:GO	MF:desc	MF:catIII	MF:catII	CC:GO	CC:desc	CC:catIII	CC:catII	hit	hit_desc	Organism...26	uni_evalue	%algCopepod	%algHit	Pfam_ID	Pfam_desc	Pfam_evalue	peptideSignal	TM_occurence	RPKM_Hypox1	RPKM_Hypox2	RPKM_Hypox3	RPKM_Norma1	RPKM_Norma2	RPKM_Norma3	Mean_Metridinidae	Mean_Centropagoidae	Mean_Pancalanidae
Aameta	TRINITY_DN10395_c0_g2_i1	Eucalanus-hyalinus_23701	OG0000691	IPR003726|IPR017226|IPR036589	Homocysteine-binding domain|Betaine-homocysteine S-methyltransferase, BHMT|Homocysteine-binding domain superfamily	Bilateria|Chordata	1.89e-127	ko01000	Enzymes	ko00260|ko00270	Glycine,_serine_and_threonine_metabolism_(Amino_acid_metabolism)|Cysteine_and_methionine_metabolism_(Amino_acid_metabolism)	GO:0009086	methionine_biosynthetic_process	cellular_metabolic_process	metabolic_process	GO:0008270|GO:0047150	zinc_ion_binding|betaine-homocysteine_S-methyltransferase_activity	ion_binding|transferase_activity	binding|catalytic_activity	-	-	-	-	tr|A0A1S3IRB3|A0A1S3IRB3_LINUN	Betaine--homocysteine_S-methyltransferase_1	Lingula_unguis	1.8e-105	92	83	PF02574	Homocysteine S-methyltransferase	1.7E-39	N	0	20.3068486674747	37.2954313220645	16.2106754253963	2.93403585313373	3.83928006320012	2.71840058443438	8,333333333	5,2	9,277777778
Aameta	TRINITY_DN21389_c0_g2_i1	Eucalanus-hyalinus_2945	OG0000735	IPR029058	Alpha/Beta hydrolase fold	Opisthokonta|Metazoa	2.66e-97	-	-	-	-	-	-	-	-	GO:0016787	hydrolase_activity	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A7S2RQZ1|A0A7S2RQZ1_9STRA	Alpha/beta_hydrolase_fold-3_domain-containing_protein	Mucochytrium_quahogii	1.5e-71	85	82	PF07859	alpha/beta hydrolase fold	1.2E-41	N	0	5.63209978450763	15.3055317453479	7.81662224808378	1.30475351468567	1.98125340285797	1.36428644783411	13,66666667	0,1	12,33333333
Aameta	TRINITY_DN13314_c0_g1_i1	Eucalanus-hyalinus_1333	OG0000754	IPR008146|IPR014746|IPR027302|IPR027303|IPR036651	Glutamine synthetase, catalytic domain|Glutamine synthetase/guanido kinase, catalytic domain|Glutamine synthetase, N-terminal conserved site|Glutamine synthetase, glycine-rich site|Glutamine synthetase, N-terminal domain superfamily	Bilateria|Arthropoda	3.37e-202	ko01000|ko04147	Enzymes|Exosome	ko00220|ko00250|ko00630|ko00910|ko02020|ko04217|ko04724|ko04727	Arginine_biosynthesis_(Amino_acid_metabolism)|Alanine,_aspartate_and_glutamate_metabolism_(Amino_acid_metabolism)|Glyoxylate_and_dicarboxylate_metabolism_(Carbohydrate_metabolism)|Nitrogen_metabolism_(Energy_metabolism)|Two-component_system_(Signal_transduction)|Necroptosis_(Cell_growth_and_death)|Glutamatergic_synapse_(Nervous_system)|GABAergic_synapse_(Nervous_system)	GO:0006807|GO:0006542	nitrogen_compound_metabolic_process|glutamine_biosynthetic_process	nitrogen_compound_metabolic_process|cellular_metabolic_process	metabolic_process|metabolic_process	GO:0004356|GO:0003824	glutamine_synthetase_activity|catalytic_activity	ligase_activity|catalytic_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A8K0P011|A0A8K0P011_LADFU	Glutamine_synthetase	Ladona_fulva	1.2e-170	95	92	PF03951|PF00120	Glutamine synthetase, beta-Grasp domain|Glutamine synthetase, catalytic domain	3.2E-11|8.7E-14	N	0	9.76086769805474	20.4393900378783	6.1232814755136	2.16784046606683	2.15106573861353	0.28912679749358	6,166666667	4,4	8,333333333
Aameta	TRINITY_DN17059_c1_g2_i2	Eucalanus-hyalinus_29367	OG0000928	IPR000674|IPR005107|IPR006058|IPR012675|IPR016166|IPR016167|IPR016169|IPR016208|IPR036010|IPR036318|IPR036683|IPR036856|IPR036884|IPR037165	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead|CO dehydrogenase flavoprotein, C-terminal|2Fe-2S ferredoxin, iron-sulphur binding site|Beta-grasp domain superfamily|FAD-binding domain, PCMH-type|FAD-binding, type PCMH, subdomain 1|FAD-binding, type PCMH, subdomain 2|Aldehyde oxidase/xanthine dehydrogenase-like|2Fe-2S ferredoxin-like superfamily|FAD-binding, type PCMH-like superfamily|CO dehydrogenase flavoprotein, C-terminal domain superfamily|Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead superfamily|[2Fe-2S]-binding domain superfamily|Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily	Bilateria|Arthropoda	5.08e-297	ko01000|ko04147	Enzymes|Exosome	ko00230|ko00232|ko00983|ko04146	Purine_metabolism_(Nucleotide_metabolism)|Caffeine_metabolism_(Biosynthesis_of_other_secondary_metabolites)|Drug_metabolism-other_enzymes_(Xenobiotics_biodegradation_and_metabolism)|Peroxisome_(Transport_and_catabolism)	-	-	-	-	GO:0016491|GO:0051536|GO:0005506|GO:0046872|GO:0051537|GO:0050660	oxidoreductase_activity|iron-sulfur_cluster_binding|iron_ion_binding|metal_ion_binding|2_iron,_2_sulfur_cluster_binding|flavin_adenine_dinucleotide_binding	oxidoreductase_activity|metal_cluster_binding|ion_binding|ion_binding|metal_cluster_binding|organic_cyclic_compound_binding	catalytic_activity|binding|binding|binding|binding|binding	-	-	-	-	tr|A0A8J2RPE3|A0A8J2RPE3_9CRUS	Probable_glutamate--tRNA_ligase,_mitochondrial	Daphnia_galeata	2.2e-257	99	37	PF00941|PF03450|PF01315|PF01799|PF02738	FAD binding domain in molybdopterin dehydrogenase|CO dehydrogenase flavoprotein C-terminal domain|Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain|[2Fe-2S] binding domain|Molybdopterin-binding domain of aldehyde dehydrogenase	7.1E-21|2.0E-19|8.2E-18|7.3E-26|6.0E-104	N	0	6.57978085620891	13.1923658432944	3.43974288250628	1.85202072400462	1.14173454110859	1.92755882440799	6,333333333	2,7	5
Aameta	TRINITY_DN813_c0_g2_i3	Eucalanus-hyalinus_40851	OG0000937	IPR002133|IPR022631|IPR022636	S-adenosylmethionine synthetase|S-adenosylmethionine synthetase, conserved site|S-adenosylmethionine synthetase superfamily	Insecta|Diptera	8.15e-227	ko01000	Enzymes	ko00270	Cysteine_and_methionine_metabolism_(Amino_acid_metabolism)	GO:0006556	S-adenosylmethionine_biosynthetic_process	cellular_metabolic_process	metabolic_process	GO:0004478|GO:0005524	methionine_adenosyltransferase_activity|ATP_binding	transferase_activity|organic_cyclic_compound_binding	catalytic_activity|binding	-	-	-	-	tr|A0A553PS98|A0A553PS98_TIGCA	S-adenosylmethionine_synthase	Tigriopus_californicus	1.4e-182	100	95	PF00438|PF02773|PF02772	S-adenosylmethionine synthetase, N-terminal domain|S-adenosylmethionine synthetase, C-terminal domain|S-adenosylmethionine synthetase, central domain	5.5E-42|3.6E-67|6.7E-45	N	0	222.890984711461	384.099733572189	241.697556801473	34.2229815986469	60.7048651305712	38.9946742088837	3,333333333	3,6	3,722222222
Aameta	TRINITY_DN14675_c0_g1_i1	Eucalanus-hyalinus_39337	OG0001098	IPR001273|IPR005961|IPR018301|IPR019773|IPR019774|IPR036329|IPR036951|IPR041912|IPR045865	Aromatic amino acid hydroxylase|Phenylalanine-4-hydroxylase, tetrameric form|Aromatic amino acid hydroxylase, iron/copper binding site|Tyrosine 3-monooxygenase-like|Aromatic amino acid hydroxylase, C-terminal|Aromatic amino acid monoxygenase, C-terminal domain superfamily|Aromatic amino acid hydroxylase superfamily|Eukaryotic phenylalanine-4-hydroxylase, catalytic domain|ACT-like domain	Diptera|Nematocera	3.15e-226	ko01000	Enzymes	ko00360|ko00400|ko00790	Phenylalanine_metabolism_(Amino_acid_metabolism)|Phenylalanine,_tyrosine_and_tryptophan_biosynthesis_(Amino_acid_metabolism)|Folate_biosynthesis_(Metabolism_of_cofactors_and_vitamins)	GO:0009072|GO:0006559	aromatic_amino_acid_metabolic_process|L-phenylalanine_catabolic_process	cellular_metabolic_process|cellular_metabolic_process	metabolic_process|metabolic_process	GO:0004497|GO:0005506|GO:0004505|GO:0016714	monooxygenase_activity|iron_ion_binding|phenylalanine_4-monooxygenase_activity|oxidoreductase_activity,_acting_on_paired_donors,_with_incorporation_or_reduction_of_molecular_oxygen,_reduced_pteridine_as_one_donor,_and_incorporation_of_one_atom_of_oxygen	oxidoreductase_activity|ion_binding|oxidoreductase_activity|oxidoreductase_activity	catalytic_activity|binding|catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A2M3ZH89|A0A2M3ZH89_9DIPT	phenylalanine_4-monooxygenase	Anopheles_braziliensis	2.9e-179	98	100	PF00351	Biopterin-dependent aromatic amino acid hydroxylase	7.0E-175	N	0	12.1729845046282	16.3544599345228	13.3421320941901	1.96262860120965	3.26678976000507	2.12213952071837	3,666666667	3,3	5,666666667
Aameta	TRINITY_DN3491_c0_g1_i1	Eucalanus-hyalinus_38607	OG0001202	IPR006095|IPR006096|IPR033524|IPR033922|IPR036291	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal|Leu/Phe/Val dehydrogenases active site|NAD(P) binding domain of glutamate dehydrogenase|NAD(P)-binding domain superfamily	Insecta|Paraneoptera	4.11e-296	ko01000|ko04147	Enzymes|Exosome	ko00220|ko00250|ko00910|ko04217|ko04964	Arginine_biosynthesis_(Amino_acid_metabolism)|Alanine,_aspartate_and_glutamate_metabolism_(Amino_acid_metabolism)|Nitrogen_metabolism_(Energy_metabolism)|Necroptosis_(Cell_growth_and_death)|Proximal_tubule_bicarbonate_reclamation_(Excretory_system)	GO:0006520	amino_acid_metabolic_process	cellular_metabolic_process	metabolic_process	GO:0016491|GO:0016639	oxidoreductase_activity|oxidoreductase_activity,_acting_on_the_CH-NH2_group_of_donors,_NAD_or_NADP_as_acceptor	oxidoreductase_activity|oxidoreductase_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|I6YB12|I6YB12_TIGCA	glutamate_dehydrogenase_[NAD(P)(+)]_(Fragment)	Tigriopus_californicus	2.5e-249	95	97	PF00208|PF02812	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase|Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	5.1E-49|3.7E-55	N	0	15.6033828898783	61.8061168282836	10.0654520615206	3.29227273903706	4.64752493807287	3.2426313533824	3,166666667	2	6,722222222
Aameta	TRINITY_DN6793_c0_g1_i1	Eucalanus-hyalinus_40609	OG0001812	IPR005814|IPR015421|IPR015422|IPR015424	Aminotransferase class-III|Pyridoxal phosphate-dependent transferase, major domain|Pyridoxal phosphate-dependent transferase, small domain|Pyridoxal phosphate-dependent transferase	Arthropoda|Insecta	2.77e-176	ko01000|ko01007	Enzymes|Amino_acid_related_enzymes	ko00250|ko00280|ko00410|ko00640|ko00650|ko04727	Alanine,_aspartate_and_glutamate_metabolism_(Amino_acid_metabolism)|Valine,_leucine_and_isoleucine_degradation_(Amino_acid_metabolism)|beta-Alanine_metabolism_(Metabolism_of_other_amino_acids)|Propanoate_metabolism_(Carbohydrate_metabolism)|Butanoate_metabolism_(Carbohydrate_metabolism)|GABAergic_synapse_(Nervous_system)	-	-	-	-	GO:0008483|GO:0030170|GO:0003824	transaminase_activity|pyridoxal_phosphate_binding|catalytic_activity	transferase_activity|ion_binding|catalytic_activity	catalytic_activity|binding|catalytic_activity	-	-	-	-	tr|A0A553PDN4|A0A553PDN4_TIGCA	(S)-3-amino-2-methylpropionate_transaminase	Tigriopus_californicus	1.5e-173	90	86	PF00202	Aminotransferase class-III	1.6E-100	N	0	15.7906227695597	46.1768263058363	18.5842223970273	3.6256542376062	3.5175094609045	1.8994587037885	2,666666667	3,2	4,277777778
Aameta	TRINITY_DN21631_c0_g1_i1	Eucalanus-hyalinus_6469	OG0002185	IPR006180|IPR008927|IPR013328|IPR022694|IPR036291	3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily	Arthropoda|Insecta	6.39e-117	ko01000	Enzymes	ko00062|ko00071|ko00280|ko00310|ko00380|ko00650|ko00930	Fatty_acid_elongation_(Lipid_metabolism)|Fatty_acid_degradation_(Lipid_metabolism)|Valine,_leucine_and_isoleucine_degradation_(Amino_acid_metabolism)|Lysine_degradation_(Amino_acid_metabolism)|Tryptophan_metabolism_(Amino_acid_metabolism)|Butanoate_metabolism_(Carbohydrate_metabolism)|Caprolactam_degradation_(Xenobiotics_biodegradation_and_metabolism)	GO:0006631	fatty_acid_metabolic_process	cellular_metabolic_process	metabolic_process	GO:0070403|GO:0016491|GO:0016616	NAD+_binding|oxidoreductase_activity|oxidoreductase_activity,_acting_on_the_CH-OH_group_of_donors,_NAD_or_NADP_as_acceptor	ion_binding|oxidoreductase_activity|oxidoreductase_activity	binding|catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A131YRV4|A0A131YRV4_RHIAP	3-hydroxyacyl-CoA_dehydrogenase	Rhipicephalus_appendiculatus	1.6e-96	97	96	PF02737|PF00725	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	6.1E-59|3.4E-34	N	0	12.0912655542646	23.432263288961	8.19924982523388	1.71067683036566	1.65639201493996	1.41215614775812	3,5	2,9	3,611111111
Aameta	TRINITY_DN6119_c0_g1_i1	Eucalanus-hyalinus_828	OG0002418	IPR005786|IPR018300|IPR033939|IPR036038|IPR043131|IPR043132	Branched-chain amino acid aminotransferase II|Aminotransferase, class IV, conserved site|Branched-chain aminotransferase|Aminotransferase-like, PLP-dependent enzymes|Branched-chain-amino-acid aminotransferase-like, N-terminal|Branched-chain-amino-acid aminotransferase-like, C-terminal	Bilateria|Arthropoda	4.26e-154	ko01000|ko01007	Enzymes|Amino_acid_related_enzymes	ko00270|ko00280|ko00290|ko00770	Cysteine_and_methionine_metabolism_(Amino_acid_metabolism)|Valine,_leucine_and_isoleucine_degradation_(Amino_acid_metabolism)|Valine,_leucine_and_isoleucine_biosynthesis_(Amino_acid_metabolism)|Pantothenate_and_CoA_biosynthesis_(Metabolism_of_cofactors_and_vitamins)	GO:0009081	branched-chain_amino_acid_metabolic_process	cellular_metabolic_process	metabolic_process	GO:0003824|GO:0004084	catalytic_activity|branched-chain-amino-acid_transaminase_activity	catalytic_activity|transferase_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A553PQR9|A0A553PQR9_TIGCA	Branched-chain-amino-acid_aminotransferase_(Fragment)	Tigriopus_californicus	1.2e-163	95	98	PF01063	Amino-transferase class IV	1.0E-25	N	0	13.3968793292368	37.2257746824722	11.0169518267112	3.99870709097973	4.9970290653092	5.57231667419398	3	1,8	3,944444444
