Process,Orthogroup_ID,ration Ka/Ks,Selection,hit_desc,Pfam_desc,IPR_desc
AA_metabolism,OG0000691,1,neutre,Betaine--homocysteine_S-methyltransferase_1,Homocysteine S-methyltransferase,"Homocysteine-binding domain|Betaine-homocysteine S-methyltransferase, BHMT|Homocysteine-binding domain superfamily"
AA_metabolism,OG0000691,1,neutre,Betaine--homocysteine_S-methyltransferase_1,Homocysteine S-methyltransferase,"Homocysteine-binding domain|Betaine-homocysteine S-methyltransferase, BHMT|Homocysteine-binding domain superfamily"
AA_metabolism,OG0000691,"0,184980773",conserve,Betaine--homocysteine_S-methyltransferase_1,Homocysteine S-methyltransferase,"Homocysteine-binding domain|Betaine-homocysteine S-methyltransferase, BHMT|Homocysteine-binding domain superfamily"
AA_metabolism,OG0000735,1,neutre,Alpha/beta_hydrolase_fold-3_domain-containing_protein,alpha/beta hydrolase fold,Alpha/Beta hydrolase fold
AA_metabolism,OG0000735,1,neutre,Alpha/beta_hydrolase_fold-3_domain-containing_protein,alpha/beta hydrolase fold,Alpha/Beta hydrolase fold
AA_metabolism,OG0000735,"0,37654136",conserve,Alpha/beta_hydrolase_fold-3_domain-containing_protein,alpha/beta hydrolase fold,Alpha/Beta hydrolase fold
AA_metabolism,OG0000735,"0,2771046882",conserve,Alpha/beta_hydrolase_fold-3_domain-containing_protein,alpha/beta hydrolase fold,Alpha/Beta hydrolase fold
AA_metabolism,OG0000735,"0,2424051037",conserve,Alpha/beta_hydrolase_fold-3_domain-containing_protein,alpha/beta hydrolase fold,Alpha/Beta hydrolase fold
AA_metabolism,OG0000735,"0,1853956701",conserve,Alpha/beta_hydrolase_fold-3_domain-containing_protein,alpha/beta hydrolase fold,Alpha/Beta hydrolase fold
AA_metabolism,OG0000754,1,neutre,Glutamine_synthetase,"Glutamine synthetase, beta-Grasp domain|Glutamine synthetase, catalytic domain","Glutamine synthetase, catalytic domain|Glutamine synthetase/guanido kinase, catalytic domain|Glutamine synthetase, N-terminal conserved site|Glutamine synthetase, glycine-rich site|Glutamine synthetase, N-terminal domain superfamily"
